Account,Document Number,Assignment,Document Type,Document Date,Net Due Date,Arrears by Net Due Date,Amount in Local Currency,Text,Reference
2841276,9974689340,9974689340,DG,9/22/2025,9/22/2025,7,"-3,395.00",,PR_GR09_336_ONNR
2841276,9974689493,9974689493,DG,9/22/2025,9/22/2025,7,"-1,309.50",,PR_GR09_341_ONNR
2841276,9974689540,9974689540,DG,9/22/2025,9/22/2025,7,"-6,790.00",,PR_GR09_344_ONNR
2841276,9974689674,9974689674,DG,9/22/2025,9/22/2025,7,"-1,552.00",,PR_GR09_362_ONNR
2841276,9974689707,9974689707,DG,9/22/2025,9/22/2025,7,"-5,820.00",,PR_GR09_366_ONNR
2841276,9974689975,9974689975,DG,9/22/2025,9/22/2025,7,"-50,273.16",,PR_GR09_374_ONNR
2841276,9974691701,9974691701,ZD,9/23/2025,9/24/2025,5,"-9,383.00",,PO256808/00729
2841276,9974693250,9974693250,DG,9/24/2025,9/24/2025,5,"-1,440.45",,PR_GR09_352_ONNR
2841276,9974693484,9974693484,DG,9/24/2025,9/24/2025,5,"-7,275.00",,PR_GR09_357_ONNR
2841276,9974693642,9974693642,DG,9/24/2025,9/24/2025,5,"-65,475.00",,PR_GR09_720_ONNR
2841276,9974696145,9974696145,DG,9/25/2025,9/25/2025,4,"-1,502.33",,PR_GR09_378_ONNR
2841276,9974698524,9974698524,DG,9/26/2025,9/26/2025,3,"-16,140.94",,PR_GR09_913_ONNR
2841276,9974698924,9974698924,DG,9/26/2025,9/26/2025,3,"-1,929.72",,PR_GR09_406_ONNR
2841276,9974699100,9974699100,DG,9/26/2025,9/26/2025,3,"-3,961.24",,PR_GR09_411_ONNR
2841276,9974699444,9974699444,DR,9/26/2025,9/27/2025,2,"375,498.71",,PO256809/00614
2841276,9974701561,9974701561,DR,9/28/2025,9/29/2025,0,"338,435.11",,PO256809/00614
2841276,,,,,,,"-1,618,319.39",,
3077014,9974693568,9974693568,DG,9/24/2025,9/24/2025,5,"-1,358.00",,PR_WA09_94_RSNR
3077014,9974696100,9974696100,DG,9/25/2025,9/25/2025,4,"-12,403.06",,PR_WA09_95_RSNR
3077014,9974698802,9974698802,DG,9/26/2025,9/26/2025,3,"-4,850.00",,PR_WA09_98_RSNR
3077014,9974700374,9974700374,DR,9/27/2025,9/28/2025,1,"124,957.55",,W26095307701411
3077014,,,,,,,"106,346.49",,
3538890,9974691752,9974691752,DG,9/23/2025,9/23/2025,6,"-379,241.43",,PR_GR09_830_NKNR
3538890,9974691934,9974691934,DG,9/23/2025,9/23/2025,6,"-10,590.53","15,250.02 on 26.09 paid 10:07 exclude",PR_GR09_826_NKNR
